date,price
2019-06-20,1711.18923366337
2019-06-21,1806.0568356582808
2019-06-22,1909.7846099383817
2019-06-23,1920.418506764417
2019-06-24,1945.318974069727
2019-06-25,2042.608328824248
2019-06-26,2198.1273151750465
2019-06-27,1902.6174191301368
2019-06-28,2067.72772867753
2019-06-29,2042.091273632936
2019-06-30,1857.9915072177464
2019-07-01,1837.369538156342
2019-07-02,1843.003824886396
2019-07-03,2009.3694279802776
2019-07-04,1892.9305701269195
2019-07-05,1859.7158019554663
2019-07-06,1904.676472992511
2019-07-07,1936.4359255740928
2019-07-08,2045.836703077576
2019-07-09,2072.2670331181034
2019-07-10,1993.7831832472048
2019-07-11,1850.5157316283755
2019-07-12,1921.028694115373
2019-07-13,1859.9440960155823
2019-07-14,1662.1504754572709
2019-07-15,1756.642508214966
2019-07-16,1538.624051992809
2019-07-17,1573.8035206215095
2019-07-18,1727.6972875258557
2019-07-19,1703.713042961209
2019-07-20,1741.4823411113468
2019-07-21,1728.189011668929
2019-07-22,1678.705324024542
2019-07-23,1618.3134851834975
2019-07-24,1615.0572143478569
2019-07-25,1624.7879331390377
2019-07-26,1624.814363100185
2019-07-27,1552.8376958064507
2019-07-28,1571.7841949676567
2019-07-29,1560.971128095745
2019-07-30,1574.7216179333757
2019-07-31,1650.9152639685242
2019-08-01,1685.2457401899462
2019-08-02,1702.151138779903
2019-08-03,1738.7383027031433
2019-08-04,1758.8929279880474
2019-08-05,1877.716085473511
2019-08-06,1821.1586615461813
2019-08-07,1884.000397628011
2019-08-08,1884.9813754792024
2019-08-09,1846.9263709863287
2019-08-10,1784.7402291427045
2019-08-11,1825.865732653253
2019-08-12,1797.4923831481071
2019-08-13,1735.9902274584151
2019-08-14,1581.34021589292
2019-08-15,1621.5726725714792
2019-08-16,1621.8377975908857
2019-08-17,1610.6485681075217
2019-08-18,1636.8166244673766
2019-08-19,1718.5700853747203
2019-08-20,1688.8683857274275
2019-08-21,1597.977693958468
2019-08-22,1607.321344789431
2019-08-23,1657.8374620041698
2019-08-24,1607.8142978147112
2019-08-25,1594.355845339941
2019-08-26,1628.3939348932158
2019-08-27,1604.4402027891829
2019-08-28,1527.6875083815255
2019-08-29,1489.3000431350592
2019-08-30,1502.7176708653928
2019-08-31,1508.0475195278057
2019-09-01,1521.9652961287406
2019-09-02,1602.1498191097787
2019-09-03,1647.5118990530138
2019-09-04,1632.9575495794788
2019-09-05,1631.808291641425
2019-09-06,1598.887424875915
2019-09-07,1627.1037181910551
2019-09-08,1626.7381913810364
2019-09-09,1616.5456624054527
2019-09-10,1588.022658141193
2019-09-11,1587.129396270989
2019-09-12,1619.017322169315
2019-09-13,1614.6724355532208
2019-09-14,1625.3741369445129
2019-09-15,1619.30675600364
2019-09-16,1622.3984977818902
2019-09-17,1636.091453684693
2019-09-18,1645.1574381055111
2019-09-19,1658.6808926135227
2019-09-20,1643.0139772319174
2019-09-21,1616.7398501466212
2019-09-22,1612.0049595357732
2019-09-23,1550.2915161828205
2019-09-24,1386.295388295568
2019-09-25,1344.7054991053074
2019-09-26,1293.3059302554502
2019-09-27,1310.5990840049903
2019-09-28,1314.763832330614
2019-09-29,1289.8086457136992
2019-09-30,1332.393893634165
2019-10-01,1343.932968059944
2019-10-02,1342.20384636225
2019-10-03,1317.6561141592654
2019-10-04,1313.8882209647977
2019-10-05,1312.474767304928
2019-10-06,1275.6210741586117
2019-10-07,1331.596995041839
2019-10-08,1331.818163859085
2019-10-09,1396.094626685819
2019-10-10,1386.6945409209536
2019-10-11,1337.1414613066572
2019-10-12,1345.177813003293
2019-10-13,1348.64393437291
2019-10-14,1365.8766012249546
2019-10-15,1335.316867801298
2019-10-16,1306.435239797686
2019-10-17,1324.4864435497198
2019-10-18,1302.2987475612094
2019-10-19,1299.041672101242
2019-10-20,1338.3053414137537
2019-10-21,1341.520806538471
2019-10-22,1314.6641231159174
2019-10-23,1223.8442797147711
2019-10-24,1222.1005929976975
2019-10-25,1407.4816152741116
2019-10-26,1477.1288364982236
2019-10-27,1520.8171611627183
2019-10-28,1483.7317095410135
2019-10-29,1522.003466765176
2019-10-30,1482.577011447794
2019-10-31,1479.7662124516576
2019-11-01,1488.2298936537518
2019-11-02,1500.2482594376177
2019-11-03,1486.5061858635231
2019-11-04,1515.9788637147108
2019-11-05,1513.1331542771504
2019-11-06,1524.570659960384
2019-11-07,1496.4441378508557
2019-11-08,1432.0851162420886
2019-11-09,1440.1506091447125
2019-11-10,1474.761330978079
2019-11-11,1431.2403971249787
2019-11-12,1439.2384988156657
2019-11-13,1437.656951519751
2019-11-14,1416.442647633061
2019-11-15,1384.160165595285
2019-11-16,1389.9999410746443
2019-11-17,1392.5356755679288
2019-11-18,1340.973058267311
2019-11-19,1325.1870851426593
2019-11-20,1317.9044355066994
2019-11-21,1239.7915403142638
2019-11-22,1181.104189992017
2019-11-23,1189.7102968647584
2019-11-24,1129.99113739981
2019-11-25,1150.400032406524
2019-11-26,1161.8888722677736
2019-11-27,1208.5630603006532
2019-11-28,1200.469108059254
2019-11-29,1242.8244791484003
2019-11-30,1217.490834674678
2019-12-01,1196.16997193543
2019-12-02,1179.3839270414398
2019-12-03,1175.191082278296
2019-12-04,1163.4054454021075
2019-12-05,1187.6559088459337
2019-12-06,1204.6336369816242
2019-12-07,1203.3639320020334
2019-12-08,1208.8681652975356
2019-12-09,1183.7596816828748
2019-12-10,1166.1776033794415
2019-12-11,1158.0903625504056
